SCIENTIFIC NAME,LATITUDE,LONGITUDE,OBSERVATION DATE
Pyrocephalus rubinus,-16.9118491,-47.5682619,2011-04-15
Pyrocephalus rubinus,-13.6738889,-49.1141667,2011-06-25
Pyrocephalus rubinus,-13.6738889,-49.1141667,2011-06-25
Pyrocephalus rubinus,-14.2227454,-47.8653395,2011-07-01
Pyrocephalus rubinus,-18.2609794,-52.8883982,2012-10-13
Pyrocephalus rubinus,-18.2609794,-52.8883982,2013-05-03
Pyrocephalus rubinus,-18.2609794,-52.8883982,2013-09-16
Pyrocephalus rubinus,-18.2609794,-52.8883982,2013-09-16
Pyrocephalus rubinus,-14.3725118,-47.5050631,2014-06-17
Pyrocephalus rubinus,-18.1485433,-47.9239243,2014-06-30
Pyrocephalus rubinus,-14.2964824,-47.4933922,2015-04-27
Pyrocephalus rubinus,-14.2964824,-47.4933922,2015-04-27
Pyrocephalus rubinus,-16.413718,-49.0876222,2015-05-09
Pyrocephalus rubinus,-14.3186024,-47.5041586,2016-05-23
Pyrocephalus rubinus,-14.3186024,-47.5041586,2016-08-07
Pyrocephalus rubinus,-18.0962432,-52.924151,2016-09-24
Pyrocephalus rubinus,-18.2989819,-52.9884397,2017-06-04
Pyrocephalus rubinus,-16.5663762,-49.3089547,2017-06-10
Pyrocephalus rubinus,-16.5663762,-49.3089547,2017-07-05
Pyrocephalus rubinus,-18.2609794,-52.8883982,2017-09-25
Pyrocephalus rubinus,-18.2609794,-52.8883982,2017-09-25
Pyrocephalus rubinus,-18.2609794,-52.8883982,2017-09-10
Pyrocephalus rubinus,-18.2609794,-52.8883982,2017-09-25
Pyrocephalus rubinus,-16.5663762,-49.3089547,2018-05-16
Pyrocephalus rubinus,-16.5663762,-49.3089547,2018-07-12
Pyrocephalus rubinus,-16.6383952,-48.6594295,2018-07-05
Pyrocephalus rubinus,-17.3742014,-53.0841011,2018-07-28
Pyrocephalus rubinus,-16.5663762,-49.3089547,2018-07-20
Pyrocephalus rubinus,-16.570828,-49.314961,2018-07-17
Pyrocephalus rubinus,-16.575012,-49.315902,2018-07-20
Pyrocephalus rubinus,-18.0426539,-47.8742682,2018-08-27
Pyrocephalus rubinus,-15.29784,-49.3733495,2018-08-24
Pyrocephalus rubinus,-15.29784,-49.3733495,2018-08-22
Pyrocephalus rubinus,-15.29784,-49.3733495,2018-08-20
Pyrocephalus rubinus,-17.5658766,-52.5575839,2018-12-16
Pyrocephalus rubinus,-16.5663762,-49.3089547,2019-04-29
Pyrocephalus rubinus,-16.5663762,-49.3089547,2019-04-29
Pyrocephalus rubinus,-16.5663762,-49.3089547,2019-04-29
Pyrocephalus rubinus,-16.5663762,-49.3089547,2019-04-29
Pyrocephalus rubinus,-17.5673222,-52.5862125,2019-06-07
Pyrocephalus rubinus,-17.5648,-52.5383,2019-06-07
Pyrocephalus rubinus,-16.2584919,-48.5505939,2019-07-31
Pyrocephalus rubinus,-17.9010349,-53.0069001,2019-07-14
Pyrocephalus rubinus,-16.574185,-49.315152,2019-07-19
Pyrocephalus rubinus,-18.9772957,-50.772358,2019-07-12
Pyrocephalus rubinus,-18.8887732,-50.914134,2019-07-12
Pyrocephalus rubinus,-17.162157,-49.631158,2019-07-27
Pyrocephalus rubinus,-16.5663762,-49.3089547,2019-07-19
Pyrocephalus rubinus,-17.070565,-49.601035,2019-07-27
Pyrocephalus rubinus,-18.271417,-52.842821,2019-08-28
Pyrocephalus rubinus,-17.921308,-53.006452,2019-08-29
Pyrocephalus rubinus,-18.1223603,-52.908783,2019-09-28
Pyrocephalus rubinus,-16.5648475,-49.2844933,2020-04-30
Pyrocephalus rubinus,-16.5648475,-49.2844933,2020-04-29
Pyrocephalus rubinus,-16.5648475,-49.2844933,2020-04-27
Pyrocephalus rubinus,-16.5648475,-49.2844933,2020-04-28
Pyrocephalus rubinus,-16.5648475,-49.2844933,2020-04-27
Pyrocephalus rubinus,-19.1659243,-48.581543,1999-07-01
Pyrocephalus rubinus,-17.3327707,-44.9089261,2003-04-18
Pyrocephalus rubinus,-19.6394753,-43.8939643,2003-08-24
Pyrocephalus rubinus,-17.3496553,-44.9355412,2004-07-09
Pyrocephalus rubinus,-17.3496553,-44.9355412,2004-07-08
